Table S2. Single node activation thresholds.,,,
Diameter,Pulse Duration,Ve,MDF Output
8,2,210,5
8,2,220,5
8,2,230,5
8,2,240,5
8,2,250,5
8,2,260,5
8,2,270,5
8,2,280,5
8,2,290,5
8,2,300,5
8,2,310,5
8,2,320,5
8,2,330,5
8,2,340,5
8,2,350,5
8,2,360,5
8,2,370,5
8,2,380,5
8,2,390,5
8,2,400,5
8,2,410,5
8,2,420,5
8,2,430,5
8,2,440,5
8,2,450,5
8,2,460,5
8,2,470,5
8,2,480,5
8,2,490,5
8,2,500,5
8,5,0,50
8,5,10,35
8,5,20,15
8,5,30,5
8,5,40,5
8,5,50,5
8,5,60,5
8,5,70,5
8,5,80,5
8,5,90,5
8,5,100,5
8,5,110,5
8,5,120,5
8,5,130,5
8,5,140,5
8,5,150,5
8,5,160,5
8,5,170,5
8,5,180,5
8,5,190,5
8,5,200,5
8,5,210,5
8,5,220,5
8,5,230,5
8,5,240,5
8,5,250,5
8,5,260,5
8,5,270,5
8,5,280,5
8,5,290,5
8,5,300,5
8,5,310,5
8,5,320,5
8,5,330,5
8,5,340,5
8,5,350,5
8,5,360,5
8,5,370,5
8,5,380,5
8,5,390,5
8,5,400,5
8,5,410,5
8,5,420,5
8,5,430,5
8,5,440,5
8,5,450,5
8,5,460,5
8,5,470,5
8,5,480,5
8,5,490,5
8,5,500,5
8,10,0,50
8,10,10,35
8,10,20,15
8,10,30,5
8,10,40,5
8,10,50,5
8,10,60,5
8,10,70,5
8,10,80,5
8,10,90,5
8,10,100,5
8,10,110,5
8,10,120,5
8,10,130,5
8,10,140,5
8,10,150,5
8,10,160,5
8,10,170,5
8,10,180,5
8,10,190,5
8,10,200,5
8,10,210,5
8,10,220,5
8,10,230,5
8,10,240,5
8,10,250,5
8,10,260,5
8,10,270,5
8,10,280,5
8,10,290,5
8,10,300,5
8,10,310,5
8,10,320,5
8,10,330,5
8,10,340,5
8,10,350,5
8,10,360,5
8,10,370,5
8,10,380,5
8,10,390,5
8,10,400,5
8,10,410,5
8,10,420,5
8,10,430,5
8,10,440,5
8,10,450,5
8,10,460,5
8,10,470,5
8,10,480,5
8,10,490,5
8,10,500,5
10,0.02,0,180
10,0.02,10,170
10,0.02,20,165
10,0.02,30,160
10,0.02,40,150
10,0.02,50,145
10,0.02,60,140
10,0.02,70,130
10,0.02,80,125
10,0.02,90,120
10,0.02,100,110
10,0.02,110,105
10,0.02,120,100
10,0.02,130,95
10,0.02,140,90
10,0.02,150,90
10,0.02,160,85
10,0.02,170,80
10,0.02,180,80
10,0.02,190,75
10,0.02,200,75
10,0.02,210,70
10,0.02,220,70
10,0.02,230,65
10,0.02,240,65
10,0.02,250,65
10,0.02,260,60
10,0.02,270,60
10,0.02,280,60
10,0.02,290,55
10,0.02,300,55
10,0.02,310,55
10,0.02,320,55
10,0.02,330,50
10,0.02,340,50
10,0.02,350,50
10,0.02,360,50
10,0.02,370,50
10,0.02,380,45
10,0.02,390,45
10,0.02,400,45
10,0.02,410,45
10,0.02,420,45
10,0.02,430,45
10,0.02,440,45
10,0.02,450,45
10,0.02,460,40
10,0.02,470,40
10,0.02,480,40
10,0.02,490,40
10,0.02,500,40
10,0.05,0,115
10,0.05,10,110
10,0.05,20,100
10,0.05,30,90
10,0.05,40,80
10,0.05,50,70
10,0.05,60,65
10,0.05,70,55
10,0.05,80,50
10,0.05,90,45
10,0.05,100,40
10,0.05,110,40
10,0.05,120,35
10,0.05,130,35
10,0.05,140,30
10,0.05,150,30
10,0.05,160,30
10,0.05,170,25
10,0.05,180,25
10,0.05,190,25
10,0.05,200,25
10,0.05,210,20
10,0.05,220,20
10,0.05,230,20
10,0.05,240,20
10,0.05,250,20
10,0.05,260,20
10,0.05,270,20
10,0.05,280,20
10,0.05,290,20
10,0.05,300,20
10,0.05,310,20
10,0.05,320,20
10,0.05,330,15
10,0.05,340,15
10,0.05,350,15
10,0.05,360,15
10,0.05,370,15
10,0.05,380,15
10,0.05,390,15
10,0.05,400,15
10,0.05,410,15
10,0.05,420,15
10,0.05,430,15
10,0.05,440,15
10,0.05,450,15
10,0.05,460,15
10,0.05,470,15
10,0.05,480,15
10,0.05,490,15
10,0.05,500,15
10,0.1,0,85
10,0.1,10,75
10,0.1,20,65
10,0.1,30,50
10,0.1,40,40
10,0.1,50,35
10,0.1,60,30
10,0.1,70,25
10,0.1,80,20
10,0.1,90,20
10,0.1,100,15
10,0.1,110,15
10,0.1,120,15
